Player,Projection,Pos,Rank,Team,Bye,POS,CBS,Sleeper,RTSports,AVG,pos_rank,Cluster
Brian Robinson Jr.,139.89000000000001,RB,92.0,WAS,14.0,RB,,97.0,86.0,91.5,36.0,6
D'Andre Swift,148.16000000000003,RB,70.0,PHI,10.0,RB,,63.0,73.0,68.0,31.0,6
Raheem Mostert,141.78,RB,126.0,MIA,10.0,RB,,134.0,117.0,125.5,34.0,6
Jamaal Williams,131.42000000000002,RB,95.0,NO,11.0,RB,,100.0,94.0,97.0,38.0,6
Samaje Perine,135.73000000000002,RB,107.0,DEN,9.0,RB,,115.0,105.0,110.0,37.0,6
Antonio Gibson,141.18,RB,89.0,WAS,14.0,RB,,95.0,81.0,88.0,35.0,6
Rashaad Penny,113.11000000000001,RB,106.0,PHI,10.0,RB,,101.0,119.0,110.0,39.0,7
Tyler Allgeier,107.65,RB,133.0,ATL,11.0,RB,,135.0,139.0,137.0,41.0,7
Elijah Mitchell,105.52000000000001,RB,121.0,SF,9.0,RB,,121.0,121.0,121.0,43.0,7
Ezekiel Elliott,107.44999999999999,RB,123.0,NE,11.0,RB,,123.0,123.0,123.0,42.0,7
Zach Charbonnet,108.24000000000002,RB,98.0,SEA,5.0,RB,,99.0,102.0,100.5,40.0,7
Jaylen Warren,104.75000000000001,RB,122.0,PIT,6.0,RB,,145.0,100.0,122.5,44.0,7
Chuba Hubbard,99.78,RB,181.0,CAR,7.0,RB,,201.0,165.0,183.0,46.0,7
Damien Harris,99.42,RB,127.0,BUF,13.0,RB,,125.0,126.0,125.5,47.0,7
D'Onta Foreman,91.4,RB,142.0,CHI,13.0,RB,,158.0,142.0,150.0,51.0,7
Kenneth Gainwell,97.56,RB,151.0,PHI,10.0,RB,,186.0,130.0,158.0,49.0,7
Devin Singletary,98.55000000000001,RB,150.0,HOU,7.0,RB,,161.0,153.0,157.0,48.0,7
Jerick McKinnon,102.23999999999998,RB,125.0,KC,10.0,RB,,136.0,115.0,125.5,45.0,7
De'Von Achane,94.17,RB,110.0,MIA,10.0,RB,,124.0,104.0,114.0,50.0,7
Gus Edwards,86.64999999999999,RB,193.0,BAL,13.0,RB,,203.0,189.0,196.0,53.0,8
Tank Bigsby,88.23,RB,129.0,JAC,9.0,RB,,144.0,112.0,128.0,52.0,8
Jeff Wilson Jr.,85.82,RB,169.0,MIA,10.0,RB,,177.0,158.0,167.5,54.0,8
Zack Moss,83.21000000000001,RB,205.0,IND,11.0,RB,,230.0,188.0,209.0,55.0,8
Tyjae Spears,78.62000000000002,RB,168.0,TEN,7.0,RB,,187.0,148.0,167.5,56.0,8
Kendre Miller,76.83000000000001,RB,161.0,NO,11.0,RB,,156.0,170.0,163.0,57.0,8
Cordarrelle Patterson,75.19,RB,204.0,ATL,11.0,RB,,218.0,197.0,207.5,58.0,8
Deon Jackson,75.09000000000002,RB,189.0,IND,11.0,RB,,229.0,156.0,192.5,59.0,8
Justin Jefferson,262.63,WR,2.0,MIN,13.0,WR,,2.0,1.0,1.5,1.0,1
Ja'Marr Chase,257.45,WR,4.0,CIN,7.0,WR,,7.0,3.0,5.0,2.0,1
Tyreek Hill,249.92,WR,6.0,MIA,10.0,WR,,8.0,5.0,6.5,3.0,1
Cooper Kupp,239.79000000000002,WR,10.0,LAR,10.0,WR,,10.0,8.0,9.0,4.0,2
CeeDee Lamb,235.01,WR,12.0,DAL,7.0,WR,,15.0,11.0,13.0,5.0,2
Davante Adams,227.71,WR,18.0,LV,13.0,WR,,16.0,20.0,18.0,7.0,2
Stefon Diggs,228.59,WR,11.0,BUF,13.0,WR,,11.0,12.0,11.5,6.0,2
A.J. Brown,212.20999999999998,WR,14.0,PHI,10.0,WR,,14.0,16.0,15.0,8.0,3
Jaylen Waddle,202.2,WR,23.0,MIA,10.0,WR,,23.0,23.0,23.0,10.0,3
Amon-Ra St. Brown,210.51,WR,20.0,DET,9.0,WR,,20.0,19.0,19.5,9.0,3
