"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Nick Mullens","MIN","43.3","32.5","327.6","1.9","2.1","4.7","8.6","0.1","0.7","18.7"
"Easton Stick","LAC","64.5","37.8","348.1","1.6","3.6","15.2","20.9","0.2","0.7","18.7"
"Jameis Winston","NO","35.5","23.9","299.0","1.5","1.3","4.0","9.8","0.2","0.2","18.3"
"Trey Lance","DAL","71.2","43.0","367.9","0.6","2.3","14.8","36.3","0.1","0.5","18.3"
"C.J. Beathard","JAC","56.6","33.0","341.5","1.5","2.9","11.6","20.1","0.1","0.6","18.2"
"Drew Lock","SEA","50.8","27.8","318.1","1.6","2.7","5.5","16.1","0.1","0.5","17.5"
"Brett Rypien","LAR","0.0","0.0","290.1","2.2","5.4","33.4","31.9","0.1","0.9","17.2"
"Tyson Bagent","CHI","47.8","29.1","300.3","1.3","2.5","8.6","23.4","0.2","0.6","16.8"
"Dorian Thompson-Robinson","CLE","49.2","29.9","306.0","1.1","1.8","8.1","24.2","0.1","0.6","16.8"
"Cooper Rush","DAL","36.2","22.7","273.5","1.5","1.2","2.9","6.6","0.1","0.2","16.5"
"Matt Corral","NE","32.5","19.9","267.9","1.0","2.1","7.6","20.1","0.2","0.5","15.2"
"Aidan O'Connell","LV","77.9","46.4","345.0","0.5","2.6","12.4","19.7","0.1","0.6","14.8"
"Kyle Allen","BUF","53.5","33.2","310.6","1.1","3.1","7.9","15.7","0.1","1.3","13.8"
"Jake Browning","CIN","29.6","18.4","183.0","1.0","1.9","8.1","19.7","0.1","0.5","11.1"
"Case Keenum","HOU","119.6","59.1","274.4","0.4","1.5","10.0","0.7","0.0","0.8","9.8"
"Brandon Allen","SF","0.0","0.0","0.0","3.4","3.4","16.4","7.6","0.0","0.6","9.8"
"Hendon Hooker","DET","58.1","33.9","307.7","0.0","4.9","18.3","36.6","0.2","1.4","9.5"
"David Blough","DET","0.0","0.0","145.1","0.6","1.4","0.0","1.1","0.1","0.1","7.3"
"Logan Woodside","ATL","0.0","0.0","92.5","1.2","4.0","33.4","25.1","0.1","0.9","5.9"
"Skylar Thompson","MIA","57.4","32.4","158.2","0.7","3.9","26.2","19.6","0.0","0.8","5.9"
"Tanner McKee","PHI","24.8","14.7","108.4","0.4","1.6","10.0","14.6","0.1","0.4","5.2"
"PJ Walker","CLE","32.6","13.7","148.7","0.7","5.4","20.0","24.4","0.0","0.5","4.8"
"Jake Haener","NO","7.5","5.0","62.0","0.4","1.6","11.8","16.1","0.1","0.4","3.8"
"Mason Rudolph","PIT","0.0","0.0","7.9","0.6","0.2","17.7","11.2","0.0","0.0","3.8"
"Jaren Hall","MIN","10.0","6.5","59.6","0.4","1.6","11.8","16.2","0.1","0.4","3.5"
"Nathan Peterman","CHI","0.0","0.0","23.9","0.4","1.6","0.0","0.8","0.2","0.1","1.9"
"John Wolford","TB","0.0","0.0","0.0","1.7","6.9","33.4","48.6","0.0","1.5","1.8"
"Feleipe Franks","ATL","0.0","0.0","0.0","1.7","6.9","33.4","48.6","0.0","1.5","1.8"
"Sam Ehlinger","IND","0.0","0.0","15.7","0.9","3.6","33.4","24.3","0.0","0.8","1.7"
"Nate Sudfeld","DET","0.0","0.0","26.3","0.1","0.1","0.0","1.7","0.0","0.0","1.5"
"Jeff Driskel","ARI","0.0","0.0","0.0","0.4","2.9","0.0","0.0","0.0","0.0","-1.3"
"Malik Cunningham","NE","0.0","0.0","0.0","0.0","4.5","22.5","44.2","0.2","1.3","-1.5"
""
""
