"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Adonai Mitchell","IND","48.2","653.7","3.7","0.7","4.8","0.0","0.8","86.8"
"Demarcus Robinson","LAR","46.2","592.6","4.4","0.3","7.8","0.0","0.6","85.3"
"Josh Downs","IND","55.9","639.4","3.4","0.0","5.3","0.0","0.5","83.6"
"DJ Chark Jr.","LAC","38.4","554.2","4.7","0.0","1.8","0.0","0.5","82.8"
"Rashod Bateman","BAL","46.1","605.0","3.5","0.3","4.5","0.0","0.2","81.5"
"Xavier Legette","CAR","46.0","597.3","3.0","2.8","17.2","0.1","0.4","79.3"
"Tim Patrick","DEN","42.7","552.9","3.9","0.0","2.3","0.0","0.1","79.0"
"Wan'Dale Robinson","NYG","58.7","549.8","2.7","8.1","58.1","0.5","0.5","78.5"
"Kendrick Bourne","NE","46.5","563.0","3.5","2.3","15.8","0.0","0.5","78.0"
"Darius Slayton","NYG","39.7","569.1","3.0","0.0","1.3","0.0","0.1","74.8"
"Odell Beckham Jr.","MIA","37.4","508.7","3.5","0.0","2.3","0.0","0.4","71.0"
"Ricky Pearsall","SF","37.1","477.5","3.5","2.2","14.5","0.1","0.7","68.9"
"Jalen McMillan","TB","42.1","502.4","3.2","0.7","7.5","0.0","0.7","68.5"
"Quentin Johnston","LAC","39.2","488.8","3.1","1.7","6.8","0.0","0.1","68.1"
"Jermaine Burton","CIN","37.8","480.1","3.2","0.7","4.3","0.0","0.7","65.9"
"Roman Wilson","PIT","36.6","474.7","2.8","0.7","10.0","0.0","0.4","64.3"
"Tyler Boyd","TEN","46.0","497.9","2.4","1.3","7.6","0.0","0.5","64.2"
"Jalin Hyatt","NYG","39.6","501.1","2.3","0.0","1.0","0.0","0.3","63.7"
"Jalen Tolbert","DAL","36.9","456.8","3.0","0.0","2.3","0.0","0.2","63.2"
"Josh Reynolds","DEN","35.0","451.6","3.0","0.0","1.3","0.0","0.4","62.6"
"Luke McCaffrey","WAS","39.8","473.1","2.3","0.7","9.3","0.0","0.4","61.4"
"Tre Tucker","LV","35.1","424.7","2.4","6.0","39.8","0.2","0.3","61.3"
"Marvin Mims Jr.","DEN","33.8","439.1","2.3","3.9","22.5","0.1","0.2","59.9"
"Troy Franklin","DEN","35.1","447.4","2.7","1.0","5.0","0.0","0.7","59.8"
"Elijah Moore","CLE","37.0","426.0","2.5","4.4","14.7","0.0","0.4","58.3"
"Greg Dortch","ARI","39.9","410.7","2.5","3.2","21.2","0.1","0.1","58.1"
"Dyami Brown","WAS","30.4","424.3","2.6","0.0","2.0","0.0","0.1","57.8"
"Andrei Iosivas","CIN","33.9","395.6","3.0","0.0","3.3","0.0","0.2","57.7"
"Malachi Corley","NYJ","33.9","376.0","2.6","4.4","30.0","0.2","0.1","57.0"
"Ray-Ray McCloud III","ATL","33.9","348.3","2.6","6.9","46.8","0.2","0.2","56.1"
"Jahan Dotson","PHI","31.2","384.4","2.8","0.0","2.0","0.0","0.4","54.8"
"JuJu Smith-Schuster","KC","37.0","389.5","2.5","1.0","2.5","0.0","0.0","54.2"
"Jonathan Mingo","CAR","34.5","404.6","2.0","0.0","3.0","0.0","0.1","52.4"
"Olamide Zaccheaus","WAS","30.0","375.7","2.1","0.0","5.0","0.0","0.1","50.3"
"Cedrick Wilson Jr.","NO","25.6","319.7","2.6","0.3","2.3","0.0","0.1","47.9"
"Treylon Burks","TEN","26.9","357.6","1.8","1.8","18.7","0.1","0.6","47.4"
"Trey Palmer","TB","26.9","321.9","2.0","4.2","20.2","0.1","0.2","46.3"
"KaVontae Turpin","DAL","18.7","220.2","2.7","8.7","66.9","0.4","0.4","46.2"
"Alec Pierce","IND","22.6","341.5","1.9","0.0","1.3","0.0","0.0","45.7"
"A.T. Perry","NO","20.0","296.6","2.3","0.3","1.8","0.0","0.0","43.7"
"Parker Washington","JAC","27.9","297.9","2.2","0.0","6.0","0.0","0.0","43.6"
"Cedric Tillman","CLE","24.7","313.3","2.0","0.0","1.7","0.0","0.2","43.0"
"Calvin Austin III","PIT","24.9","289.4","1.6","4.5","36.3","0.1","0.2","42.6"
"Devontez Walker","BAL","23.8","291.5","2.2","0.0","3.5","0.0","0.0","42.3"
"Nelson Agholor","BAL","23.3","291.9","2.1","0.0","2.0","0.0","0.1","41.9"
"Van Jefferson","PIT","22.7","309.2","1.8","0.0","4.0","0.0","0.1","41.7"
"Kalif Raymond","DET","23.7","287.0","1.6","2.2","24.6","0.1","0.2","40.6"
"Jalen Nailor","MIN","23.8","296.9","1.5","0.0","0.3","0.0","0.0","38.5"
"Zay Jones","ARI","24.4","279.5","1.9","0.0","2.0","0.0","0.6","38.1"
"Jauan Jennings","SF","21.5","264.9","1.7","0.0","3.3","0.0","0.1","36.8"
"Xavier Gipson","NYJ","19.4","221.3","1.6","4.6","32.6","0.2","0.1","35.6"
"Allen Lazard","NYJ","19.3","247.7","1.8","0.0","0.7","0.0","0.1","35.4"
"Brandon Johnson","DEN","14.4","190.6","2.5","0.0","2.3","0.0","0.0","34.0"
"Tutu Atwell","LAR","18.4","242.4","1.2","2.2","14.1","0.1","0.1","33.4"
"Javon Baker","NE","20.3","243.8","1.4","0.0","7.3","0.0","0.0","33.1"
"Lil'Jordan Humphrey","DEN","12.0","156.8","2.6","0.0","0.0","0.0","0.0","31.2"
"KhaDarel Hodge","ATL","17.0","226.6","1.4","0.0","0.0","0.0","0.2","30.6"
"Trenton Irwin","CIN","17.1","218.0","1.5","0.0","1.5","0.0","0.1","30.5"
"K.J. Osborn","NE","18.1","222.6","1.4","0.0","2.0","0.0","0.0","30.5"
"Jake Bobo","SEA","15.0","174.0","1.3","4.2","18.4","0.2","0.1","27.7"
"Quez Watkins","PIT","14.0","196.0","1.0","0.0","5.0","0.0","0.0","26.1"
"Mack Hollins","BUF","13.8","177.4","1.3","0.0","0.0","0.0","0.0","25.2"
"Kadarius Toney","KC","11.0","121.5","0.8","7.5","44.4","0.2","0.1","23.0"
"Cornelius Johnson","LAC","11.0","166.0","1.0","0.0","0.0","0.0","0.0","22.6"
"Justin Watson","KC","11.3","158.7","1.1","0.0","0.0","0.0","0.1","22.5"
