Player,Team,POS,FPTS,VORP,VORP_FLEX,VORP_SFLEX,Player First Name,Player Last Name,Player Team,ADP
Ja'Marr Chase,CIN,WR,238.8,95.0,127.5,108.1,Ja'Marr,Chase,CIN,5.4
Amon-Ra St Brown,DET,WR,239.8,96.0,128.5,109.1,Amon-Ra,St. Brown,DET,6.8
Justin Jefferson,MIN,WR,239.5,95.7,128.2,108.8,Justin,Jefferson,MIN,4.6
Puka Nacua,LAR,WR,224.9,81.1,113.6,94.2,Puka,Nacua,LAR,11.1
AJ Brown,PHI,WR,222.20000000000002,78.4,110.9,91.5,A.J.,Brown,PHI,9.9
Deebo Samuel,SF,WR,194.7,50.9,83.4,64.0,Deebo,Samuel,SF,30.6
Mike Evans,TB,WR,203.10000000000002,59.3,91.8,72.4,Mike,Evans,TB,29.7
Garrett Wilson,NYJ,WR,209.5,65.7,98.2,78.8,Garrett,Wilson,NYJ,12.1
Nico Collins,HOU,WR,200.70000000000002,56.9,89.4,70.0,Nico,Collins,HOU,27.9
Davante Adams,LV,WR,208.4,64.6,97.1,77.7,Davante,Adams,LV,18.5
Chris Olave,NO,WR,201.60000000000002,57.8,90.3,70.9,Chris,Olave,NO,20.3
DK Metcalf,SEA,WR,193.2,49.4,81.9,62.5,DK,Metcalf,SEA,44.9
Marvin Harrison,ARI,WR,199.4,55.6,88.1,68.7,Marvin,Harrison,ARI,13.2
DJ Moore,CHI,WR,190.3,46.5,79.0,59.6,DJ,Moore,CHI,33.5
Tee Higgins,CIN,WR,188.9,45.1,77.6,58.2,Tee,Higgins,CIN,54.0
Brandon Aiyuk,SF,WR,191.60000000000002,47.8,80.3,60.9,Brandon,Aiyuk,SF,20.6
Drake London,ATL,WR,190.3,46.5,79.0,59.6,Drake,London,ATL,17.5
DeVonta Smith,PHI,WR,188.4,44.6,77.1,57.7,DeVonta,Smith,PHI,41.8
Tank Dell,HOU,WR,174.7,30.9,63.4,44.0,Tank,Dell,HOU,51.3
Amari Cooper,CLE,WR,183.3,39.5,72.0,52.6,Amari,Cooper,CLE,57.9
Hollywood Brown,KC,WR,177.4,33.6,66.1,46.7,Hollywood,Brown,KC,76.4
Stefon Diggs,HOU,WR,186.3,42.5,75.0,55.6,Stefon,Diggs,HOU,31.5
Calvin Ridley,TEN,WR,173.4,29.6,62.1,42.7,Calvin,Ridley,TEN,82.9
Cooper Kupp,LAR,WR,179.70000000000002,35.9,68.4,49.0,Cooper,Kupp,LAR,42.0
Zay Flowers,BAL,WR,177.0,33.2,65.7,46.3,Zay,Flowers,BAL,48.8
Jaylen Waddle,MIA,WR,179.0,35.2,67.7,48.3,Jaylen,Waddle,MIA,34.3
George Pickens,PIT,WR,165.60000000000002,21.8,54.3,34.9,George,Pickens,PIT,55.6
Christian Watson,GB,WR,155.2,11.4,43.9,24.5,Christian,Watson,GB,102.9
DeAndre Hopkins,TEN,WR,165.0,21.2,53.7,34.3,DeAndre,Hopkins,TEN,94.9
Jayden Reed,GB,WR,156.0,12.2,44.7,25.3,Jayden,Reed,GB,69.5
Michael Pittman,IND,WR,179.0,35.2,67.7,48.3,Michael,Pittman,IND,39.9
Chris Godwin,TB,WR,166.9,23.1,55.6,36.2,Chris,Godwin,TB,79.6
Terry McLaurin,WAS,WR,164.60000000000002,20.8,53.3,33.9,Terry,McLaurin,WAS,67.3
Malik Nabers,NYG,WR,165.10000000000002,21.3,53.8,34.4,Malik,Nabers,NYG,38.0
Diontae Johnson,CAR,WR,162.8,19.0,51.5,32.1,Diontae,Johnson,CAR,93.1
Courtland Sutton,DEN,WR,159.0,15.2,47.7,28.3,Courtland,Sutton,DEN,116.8
Jordan Addison,MIN,WR,161.20000000000002,17.4,49.9,30.5,Jordan,Addison,MIN,71.3
Christian Kirk,JAX,WR,161.70000000000002,17.9,50.4,31.0,Christian,Kirk,JAX,64.5
Keenan Allen,CHI,WR,162.70000000000002,18.9,51.4,32.0,Keenan,Allen,CHI,58.8
Xavier Worthy,KC,WR,148.9,5.1,37.6,18.2,Xavier,Worthy,KC,74.1
Mike Williams,NYJ,WR,146.9,3.1,35.6,16.2,Mike,Williams,NYJ,131.5
Tyler Lockett,SEA,WR,150.8,7.0,39.5,20.1,Tyler,Lockett,SEA,122.6
Rashid Shaheed,NO,WR,141.3,-2.5,30.0,10.6,Rashid,Shaheed,NO,134.0
Ladd McConkey,LAC,WR,143.8,0.0,32.5,13.1,Ladd,McConkey,LAC,86.8
Jerry Jeudy,CLE,WR,144.7,0.9,33.4,14.0,Jerry,Jeudy,CLE,135.6
Brian Thomas,JAX,WR,137.8,-6.0,26.5,7.1,Brian,Thomas,JAX,95.3
Gabe Davis,JAX,WR,132.10000000000002,-11.7,20.8,1.4,Gabe,Davis,JAX,146.8
Rome Odunze,CHI,WR,138.0,-5.8,26.7,7.3,Rome,Odunze,CHI,66.8
Jakobi Meyers,LV,WR,140.4,-3.4,29.1,9.7,Jakobi,Meyers,LV,130.9
Romeo Doubs,GB,WR,134.5,-9.3,23.2,3.8,Romeo,Doubs,GB,118.4
Keon Coleman,BUF,WR,139.70000000000002,-4.1,28.4,9.0,Keon,Coleman,BUF,99.7
Rashee Rice,KC,WR,136.9,-6.9,25.6,6.2,Rashee,Rice,KC,80.5
Jameson Williams,DET,WR,127.4,-16.4,16.1,-3.3,Jameson,Williams,DET,109.3
Jaxon Smith-Njigba,SEA,WR,142.5,-1.3,31.2,11.8,Jaxon,Smith-Njigba,SEA,100.8
