Player,Team,POS,FPTS,VORP,VORP_FLEX,VORP_SFLEX,Player First Name,Player Last Name,Player Team,ADP
Brevin Jordan,HOU,TE,36.900000000000006,-77.0,-74.4,-93.8,,,,300.0
Tommy Tremble,CAR,TE,36.1,-77.8,-75.2,-94.6,,,,300.0
Zach Ertz,WAS,TE,44.0,-69.9,-67.3,-86.7,Zach,Ertz,WAS,243.2
Jelani Woods,IND,TE,42.900000000000006,-71.0,-68.4,-87.8,Jelani,Woods,IND,226.2
Logan Thomas,SF,TE,36.5,-77.4,-74.8,-94.2,,,,300.0
Noah Gray,KC,TE,44.2,-69.7,-67.1,-86.5,Noah,Gray,KC,300.0
Taysom Hill,NO,TE,42.6,-71.3,-68.7,-88.1,Taysom,Hill,NO,163.2
Theo Johnson,NYG,TE,46.2,-67.7,-65.1,-84.5,Theo,Johnson,NYG,229.5
Kylen Granson,IND,TE,41.1,-72.8,-70.2,-89.6,,,,300.0
Colby Parkinson,LAR,TE,36.7,-77.2,-74.6,-94.0,Colby,Parkinson,LAR,228.2
Daniel Bellinger,NYG,TE,46.8,-67.1,-64.5,-83.9,Daniel,Bellinger,NYG,275.0
Durham Smythe,MIA,TE,40.400000000000006,-73.5,-70.9,-90.3,,,,300.0
Elijah Higgins,ARI,TE,38.2,-75.7,-73.1,-92.5,,,,300.0
Adam Trautman,DEN,TE,32.5,-81.4,-78.8,-98.2,,,,300.0
Donald Parham,LAC,TE,25.2,-88.7,-86.1,-105.5,Donald,Parham,LAC,300.0
Brock Wright,DET,TE,31.8,-82.1,-79.5,-98.9,,,,300.0
Johnny Mundt,MIN,TE,35.3,-78.6,-76.0,-95.4,,,,300.0
Josh Oliver,MIN,TE,33.6,-80.3,-77.7,-97.1,,,,300.0
Mo Alie-Cox,IND,TE,20.8,-93.1,-90.5,-109.9,,,,300.0
Ja'Tavion Sanders,CAR,TE,34.1,-79.8,-77.2,-96.6,Ja'Tavion,Sanders,CAR,188.9
Teagan Quitoriano,HOU,TE,24.3,-89.6,-87.0,-106.4,,,,300.0
Will Dissly,LAC,TE,33.3,-80.6,-78.0,-97.4,,,,300.0
Connor Heyward,PIT,TE,32.0,-81.9,-79.3,-98.7,,,,300.0
Austin Hooper,NE,TE,31.0,-82.9,-80.3,-99.7,,,,300.0
Tanner Hudson,CIN,TE,31.200000000000003,-82.7,-80.1,-99.5,,,,300.0
Jeremy Ruckert,NYJ,TE,26.1,-87.8,-85.2,-104.6,,,,300.0
Quintin Morris,BUF,TE,18.4,-95.5,-92.9,-112.3,,,,300.0
MyCole Pruitt,PIT,TE,15.700000000000001,-98.2,-95.6,-115.0,,,,300.0
Foster Moreau,NO,TE,22.1,-91.8,-89.2,-108.6,,,,300.0
Ben Sims,GB,TE,15.8,-98.1,-95.5,-114.9,,,,300.0
Stephen Sullivan,CAR,TE,23.1,-90.8,-88.2,-107.6,,,,300.0
John Bates,WAS,TE,23.0,-90.9,-88.3,-107.7,,,,300.0
Brenton Strange,JAX,TE,16.9,-97.0,-94.4,-113.8,,,,300.0
Luke Schoonmaker,DAL,TE,19.0,-94.9,-92.3,-111.7,,,,300.0
Stone Smartt,LAC,TE,19.200000000000003,-94.7,-92.1,-111.5,,,,300.0
Jordan Akins,CLE,TE,19.700000000000003,-94.2,-91.6,-111.0,,,,300.0
Ian Thomas,CAR,TE,21.3,-92.6,-90.0,-109.4,,,,300.0
Trey Knox,MIN,TE,19.0,-94.9,-92.3,-111.7,,,,300.0
James Mitchell,DET,TE,18.9,-95.0,-92.4,-111.8,,,,300.0
Tanner McLachlan,CIN,TE,19.4,-94.5,-91.9,-111.3,,,,300.0
Pharaoh Brown,SEA,TE,19.200000000000003,-94.7,-92.1,-111.5,,,,300.0
Brayden Willis,SF,TE,17.6,-96.3,-93.7,-113.1,,,,300.0
Robert Tonyan,MIN,TE,18.6,-95.3,-92.7,-112.1,,,,300.0
Cade Stover,HOU,TE,18.0,-95.9,-93.3,-112.7,Cade,Stover,HOU,300.0
Cole Turner,WAS,TE,17.4,-96.5,-93.9,-113.3,,,,300.0
Armani Rogers,WAS,TE,17.4,-96.5,-93.9,-113.3,,,,300.0
Luke Farrell,JAX,TE,18.3,-95.6,-93.0,-112.4,,,,300.0
Davis Allen,LAR,TE,17.5,-96.4,-93.8,-113.2,,,,300.0
Darnell Washington,PIT,TE,17.6,-96.3,-93.7,-113.1,,,,300.0
Payne Durham,TB,TE,17.3,-96.6,-94.0,-113.4,,,,300.0
Josh Whyle,TEN,TE,18.4,-95.5,-92.9,-112.3,,,,300.0
Nick Vannett,TEN,TE,15.4,-98.5,-95.9,-115.3,,,,300.0
Charlie Kolar,BAL,TE,15.4,-98.5,-95.9,-115.3,,,,300.0
Albert Okwuegbunam Jr,PHI,TE,15.8,-98.1,-95.5,-114.9,,,,300.0
Travis Vokolek,ARI,TE,16.200000000000003,-97.7,-95.1,-114.5,,,,300.0
Drew Sample,CIN,TE,17.3,-96.6,-94.0,-113.4,,,,300.0
Eric Saubert,SF,TE,15.4,-98.5,-95.9,-115.3,,,,300.0
Cole Fotheringham,LV,TE,15.4,-98.5,-95.9,-115.3,,,,300.0
Ross Dwelley,ATL,TE,14.5,-99.4,-96.8,-116.2,,,,300.0
Josiah Deguara,JAX,TE,16.0,-97.9,-95.3,-114.7,,,,300.0
Drew Ogletree,IND,TE,15.700000000000001,-98.2,-95.6,-115.0,,,,300.0
Erick All,CIN,TE,15.3,-98.6,-96.0,-115.4,Erick,All,CIN,300.0
La'Michael Pettway,NE,TE,14.6,-99.3,-96.7,-116.1,,,,300.0
Jaheim Bell,NE,TE,14.6,-99.3,-96.7,-116.1,Jaheim,Bell,NE,300.0
AJ Barner,SEA,TE,14.200000000000001,-99.7,-97.1,-116.5,,,,300.0
Lucas Krull,DEN,TE,13.0,-100.9,-98.3,-117.7,,,,300.0
Cameron Latu,SF,TE,12.200000000000001,-101.7,-99.1,-118.5,,,,300.0
Peyton Hendershot,DAL,TE,12.4,-101.5,-98.9,-118.3,,,,300.0
Jared Wiley,KC,TE,12.4,-101.5,-98.9,-118.3,Jared,Wiley,KC,300.0
Irv Smith Jr,KC,TE,11.2,-102.7,-100.1,-119.5,,,,300.0
Hunter Long,LAR,TE,10.3,-103.6,-101.0,-120.4,,,,300.0
Ko Kieft,TB,TE,11.0,-102.9,-100.3,-119.7,,,,300.0
Giovanni Ricci,CLE,TE,10.600000000000001,-103.3,-100.7,-120.1,,,,300.0
CJ Uzomah,PHI,TE,10.4,-103.5,-100.9,-120.3,,,,300.0
Tip Reiman,ARI,TE,10.9,-103.0,-100.4,-119.8,,,,300.0
Charlie Woerner,ATL,TE,5.300000000000001,-108.6,-106.0,-125.4,,,,300.0
Younghoe Koo,ATL,K,148.0,16.0,16.0,16.0,Younghoe,Koo,ATL,251.4
Harrison Butker,KC,K,141.0,9.0,9.0,9.0,Harrison,Butker,KC,247.9
Justin Tucker,BAL,K,138.0,6.0,6.0,6.0,Justin,Tucker,BAL,246.7
Brandon Aubrey,DAL,K,137.0,5.0,5.0,5.0,Brandon,Aubrey,DAL,248.6
Ka'imi Fairbairn,HOU,K,136.0,4.0,4.0,4.0,Ka'imi,Fairbairn,HOU,255.4
Cameron Dicker,LAC,K,135.0,3.0,3.0,3.0,Cameron,Dicker,LAC,262.7
Jake Elliott,PHI,K,135.0,3.0,3.0,3.0,Jake,Elliott,PHI,251.6
Jake Moody,SF,K,133.0,1.0,1.0,1.0,Jake,Moody,SF,253.0
Jason Myers,SEA,K,132.0,0.0,0.0,0.0,Jason,Myers,SEA,285.8
Evan McPherson,CIN,K,132.0,0.0,0.0,0.0,Evan,McPherson,CIN,249.7
Greg Zuerlein,NYJ,K,131.0,-1.0,-1.0,-1.0,,,,300.0
Matt Gay,IND,K,129.0,-3.0,-3.0,-3.0,Matt,Gay,IND,300.0
Blake Grupe,NO,K,129.0,-3.0,-3.0,-3.0,,,,300.0
Jason Sanders,MIA,K,129.0,-3.0,-3.0,-3.0,Jason,Sanders,MIA,256.7
Cairo Santos,CHI,K,128.0,-4.0,-4.0,-4.0,,,,300.0
Tyler Bass,BUF,K,128.0,-4.0,-4.0,-4.0,Tyler,Bass,BUF,250.2
Anders Carlson,GB,K,126.0,-6.0,-6.0,-6.0,,,,300.0
Chase McLaughlin,TB,K,126.0,-6.0,-6.0,-6.0,,,,300.0
Joshua Karty,LAR,K,125.0,-7.0,-7.0,-7.0,,,,300.0
Dustin Hopkins,CLE,K,125.0,-7.0,-7.0,-7.0,,,,300.0
Michael Badgley,DET,K,124.0,-8.0,-8.0,-8.0,,,,300.0
Matt Prater,ARI,K,121.0,-11.0,-11.0,-11.0,,,,300.0
Chris Boswell,PIT,K,115.0,-17.0,-17.0,-17.0,,,,300.0
Wil Lutz,DEN,K,115.0,-17.0,-17.0,-17.0,,,,300.0
Will Reichard,MIN,K,114.0,-18.0,-18.0,-18.0,,,,300.0
Nick Folk,TEN,K,113.0,-19.0,-19.0,-19.0,,,,300.0
Daniel Carlson,LV,K,112.0,-20.0,-20.0,-20.0,Daniel,Carlson,LV,254.5
Eddy Pineiro,CAR,K,112.0,-20.0,-20.0,-20.0,,,,300.0
Graham Gano,NYG,K,103.0,-29.0,-29.0,-29.0,,,,300.0
Chad Ryland,NE,K,95.0,-37.0,-37.0,-37.0,,,,300.0
Cam Little,JAX,K,84.0,-48.0,-48.0,-48.0,,,,300.0
Riley Patterson,JAX,K,76.0,-56.0,-56.0,-56.0,,,,300.0
Dallas Cowboys,Dallas Cowboys,DST,122.0,7.0,7.0,7.0,,,,300.0
Baltimore Ravens,Baltimore Ravens,DST,122.0,7.0,7.0,7.0,,,,300.0
Buffalo Bills,Buffalo Bills,DST,121.0,6.0,6.0,6.0,,,,300.0
Indianapolis Colts,Indianapolis Colts,DST,120.0,5.0,5.0,5.0,,,,300.0
Cleveland Browns,Cleveland Browns,DST,120.0,5.0,5.0,5.0,,,,300.0
New York Jets,New York Jets,DST,120.0,5.0,5.0,5.0,,,,300.0
Houston Texans,Houston Texans,DST,120.0,5.0,5.0,5.0,,,,300.0
Philadelphia Eagles,Philadelphia Eagles,DST,119.0,4.0,4.0,4.0,,,,300.0
Cincinnati Bengals,Cincinnati Bengals,DST,117.0,2.0,2.0,2.0,,,,300.0
Pittsburgh Steelers,Pittsburgh Steelers,DST,115.0,0.0,0.0,0.0,,,,300.0
Miami Dolphins,Miami Dolphins,DST,115.0,0.0,0.0,0.0,,,,300.0
Los Angeles Chargers,Los Angeles Chargers,DST,114.0,-1.0,-1.0,-1.0,,,,300.0
Kansas City Chiefs,Kansas City Chiefs,DST,113.0,-2.0,-2.0,-2.0,,,,300.0
New Orleans Saints,New Orleans Saints,DST,112.0,-3.0,-3.0,-3.0,,,,300.0
Washington Commanders,Washington Commanders,DST,111.0,-4.0,-4.0,-4.0,,,,300.0
New York Giants,New York Giants,DST,111.0,-4.0,-4.0,-4.0,,,,300.0
San Francisco 49ers,San Francisco 49ers,DST,111.0,-4.0,-4.0,-4.0,,,,300.0
Jacksonville Jaguars,Jacksonville Jaguars,DST,110.0,-5.0,-5.0,-5.0,,,,300.0
Green Bay Packers,Green Bay Packers,DST,110.0,-5.0,-5.0,-5.0,,,,300.0
Detroit Lions,Detroit Lions,DST,109.0,-6.0,-6.0,-6.0,,,,300.0
Seattle Seahawks,Seattle Seahawks,DST,109.0,-6.0,-6.0,-6.0,,,,300.0
Tampa Bay Buccaneers,Tampa Bay Buccaneers,DST,109.0,-6.0,-6.0,-6.0,,,,300.0
Denver Broncos,Denver Broncos,DST,108.0,-7.0,-7.0,-7.0,,,,300.0
Minnesota Vikings,Minnesota Vikings,DST,106.0,-9.0,-9.0,-9.0,,,,300.0
Las Vegas Raiders,Las Vegas Raiders,DST,106.0,-9.0,-9.0,-9.0,,,,300.0
Atlanta Falcons,Atlanta Falcons,DST,104.0,-11.0,-11.0,-11.0,,,,300.0
Chicago Bears,Chicago Bears,DST,104.0,-11.0,-11.0,-11.0,,,,300.0
New England Patriots,New England Patriots,DST,103.0,-12.0,-12.0,-12.0,,,,300.0
Tennessee Titans,Tennessee Titans,DST,103.0,-12.0,-12.0,-12.0,,,,300.0
Los Angeles Rams,Los Angeles Rams,DST,100.0,-15.0,-15.0,-15.0,,,,300.0
Arizona Cardinals,Arizona Cardinals,DST,100.0,-15.0,-15.0,-15.0,,,,300.0
Carolina Panthers,Carolina Panthers,DST,98.0,-17.0,-17.0,-17.0,,,,300.0
